Player,Squad,League,Nation,Primary_Pos,Age_Years,MP,Min,Gls,Ast,G+A,Gls_p90,Ast_p90,GA_p90,Sh_p90,SoT_p90,Int_p90,Crs_p90,Fld_p90,G_Sh,CrdY,CrdR,Attacker_Index,Creator_Index,Defensive_Index,Overall_Index,Archetype_V2,Hidden_Gem,WC_Watchlist_V2
Virgil van Dijk,Liverpool,Premier League,NED,DF,34.0,36,3240,4,0,4,0.1111111111111111,0.0,0.1111111111111111,0.8333333333333334,0.3888888888888889,0.0555555555555555,0.0277777777777777,0.5,0.2,4.0,0.0,40.0,14.9,30.0,83.0,Defensive Anchor,False,True
Jordan Pickford,Everton,Premier League,ENG,GK,32.0,36,3240,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,4.0,0.0,0.0,0.0,72.2,78.0,Goalkeeper,False,False
David Raya,Arsenal,Premier League,ESP,GK,30.0,36,3240,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.3888888888888889,0.0,1.0,0.0,0.0,0.0,88.7,82.0,Goalkeeper,False,False
Bart Verbruggen,Brighton,Premier League,NED,GK,23.0,36,3240,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,3.0,0.0,0.0,0.0,77.2,76.0,Goalkeeper,False,False
Morgan Rogers,Aston Villa,Premier League,ENG,MF,23.0,36,3190,9,5,14,0.2542372881355932,0.1412429378531073,0.3954802259887006,2.3728813559322037,0.903954802259887,0.0282485875706214,1.440677966101695,1.384180790960452,0.12,7.0,0.0,77.0,54.5,22.0,59.1,Deep-Lying Creator,False,False
Elliot Anderson,Nottingham Forest,Premier League,ENG,MF,23.0,36,3177,4,2,6,0.113314447592068,0.056657223796034,0.1699716713881019,1.246458923512748,0.28328611898017,0.113314447592068,4.957507082152975,2.26628895184136,0.07,8.0,0.0,34.4,50.1,65.5,46.1,Winger,False,False
Unai Simón,Athletic Club,La Liga,ESP,GK,28.0,35,3150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285714285714285,0.0,1.0,0.0,0.0,0.0,84.0,80.0,Goalkeeper,False,False
Johan Vásquez,Genoa,Serie A,MEX,DF,27.0,35,3125,0,0,0,0.0,0.0,0.0,0.6916426512968299,0.1729106628242074,0.1152737752161383,0.6916426512968299,1.3256484149855907,0.04,2.0,0.0,34.3,42.0,80.7,69.9,Defensive Anchor,False,False
Mike Maignan,Milan,Serie A,FRA,GK,30.0,35,3115,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734104046242774,0.0,4.0,0.0,0.0,0.0,65.2,85.0,Goalkeeper,False,False
Igor Thiago,Brentford,Premier League,BRA,FW,24.0,36,3102,22,1,23,0.6376811594202898,0.0289855072463768,0.6666666666666666,2.4347826086956523,1.2463768115942029,0.0289855072463768,0.5507246376811594,0.7536231884057971,0.17,7.0,0.0,53.9,30.2,47.2,50.0,Pure Goal Scorer,False,False
Dean Henderson,Crystal Palace,Premier League,ENG,GK,29.0,34,3060,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1470588235294117,0.0,5.0,0.0,0.0,0.0,59.8,35.9,Goalkeeper,False,False
Jan Paul van Hecke,Brighton,Premier League,NED,DF,25.0,34,3030,3,3,6,0.0890207715133531,0.0890207715133531,0.1780415430267062,0.6824925816023738,0.2967359050445103,0.1186943620178041,0.6824925816023738,1.2759643916913943,0.13,9.0,0.0,66.4,65.9,61.6,62.8,Defensive Anchor,False,False
Declan Rice,Arsenal,Premier League,ENG,MF,27.0,35,3004,4,5,9,0.1197604790419161,0.1497005988023952,0.2694610778443114,1.1976047904191618,0.3892215568862275,0.0898203592814371,5.299401197604791,0.3293413173652694,0.1,3.0,0.0,43.3,56.0,71.5,82.0,Ball-Winning Midfielder,False,True
Jesper Karlström,Udinese,Serie A,SWE,MF,30.0,34,2998,1,0,1,0.03003003003003,0.0,0.03003003003003,0.6006006006006006,0.0900900900900901,0.0900900900900901,0.4504504504504505,0.900900900900901,0.05,6.0,0.0,11.4,11.9,60.9,16.6,Deep-Lying Creator,False,False
Robin Roefs,Sunderland,Premier League,NED,GK,23.0,33,2970,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4242424242424242,0.0,4.0,0.0,0.0,0.0,53.5,32.1,Goalkeeper,False,False
Alexander Nübel,Stuttgart,Bundesliga,GER,GK,29.0,33,2970,0,1,1,0.0,0.0303030303030303,0.0303030303030303,0.0,0.0,0.0,0.0,0.2121212121212121,0.0,0.0,0.0,0.0,0.0,77.0,46.2,Goalkeeper,False,False
Oliver Baumann,Hoffenheim,Bundesliga,GER,GK,35.0,33,2970,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,3.0,0.0,0.0,0.0,58.5,35.1,Goalkeeper,False,False
Daniel Heuer Fernandes,Hamburger SV,Bundesliga,POR,GK,33.0,33,2970,0,0,0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.1212121212121212,0.0,3.0,0.0,0.0,0.0,58.5,35.1,Goalkeeper,False,False
Mathew Ryan,Levante,La Liga,AUS,GK,34.0,33,2970,0,0,0,0.0,0.0,0.0,0.0606060606060606,0.0,0.0,0.0,0.0303030303030303,0.0,4.0,0.0,0.0,0.0,53.5,72.0,Goalkeeper,False,False
Gregor Kobel,Dortmund,Bundesliga,SUI,GK,28.0,33,2970,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1515151515151515,0.0,3.0,0.0,0.0,0.0,58.5,78.0,Goalkeeper,False,False
Nikola Vasilj,St Pauli,Bundesliga,BIH,GK,30.0,33,2970,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,77.0,46.2,Goalkeeper,False,False
Kaishu Sano,Mainz 05,Bundesliga,JPN,MF,25.0,33,2969,1,2,3,0.0303030303030303,0.0606060606060606,0.0909090909090909,0.7272727272727273,0.1818181818181818,0.1818181818181818,0.5454545454545454,0.8787878787878788,0.04,1.0,0.0,13.0,20.5,96.2,25.4,Ball-Winning Midfielder,False,False
Ezri Konsa,Aston Villa,Premier League,ENG,DF,28.0,33,2945,0,0,0,0.0,0.0,0.0,0.3363914373088684,0.0611620795107033,0.0611620795107033,0.1529051987767584,1.2844036697247705,0.0,0.0,1.0,18.9,26.1,55.5,47.1,Defensive Anchor,False,False
